age,region,frequencies,make_read,female_read
6 - 14,กรุงเทพมหานคร,ทุกวัน,168272,178217
15 - 24,กรุงเทพมหานคร,ทุกวัน,399372,388568
25 - 39,กรุงเทพมหานคร,ทุกวัน,943768,1054825
40 - 59,กรุงเทพมหานคร,ทุกวัน,932599,934143
60 ขึ้นไป,กรุงเทพมหานคร,ทุกวัน,241798,269489
6 - 14,กรุงเทพมหานคร,สัปดาห์ละ 4 - 6 วัน,96940,69225
15 - 24,กรุงเทพมหานคร,สัปดาห์ละ 4 - 6 วัน,49932,50044
25 - 39,กรุงเทพมหานคร,สัปดาห์ละ 4 - 6 วัน,150570,154079
40 - 59,กรุงเทพมหานคร,สัปดาห์ละ 4 - 6 วัน,159777,187699
60 ขึ้นไป,กรุงเทพมหานคร,สัปดาห์ละ 4 - 6 วัน,47049,53064
6 - 14,กรุงเทพมหานคร,สัปดาห์ละ 2 - 3 วัน,33388,30259
15 - 24,กรุงเทพมหานคร,สัปดาห์ละ 2 - 3 วัน,19605,16039
25 - 39,กรุงเทพมหานคร,สัปดาห์ละ 2 - 3 วัน,125009,106697
40 - 59,กรุงเทพมหานคร,สัปดาห์ละ 2 - 3 วัน,132823,146201
60 ขึ้นไป,กรุงเทพมหานคร,สัปดาห์ละ 2 - 3 วัน,59253,83237
6 - 14,กรุงเทพมหานคร,สัปดาห์ละ 1 วัน,704,1745
15 - 24,กรุงเทพมหานคร,สัปดาห์ละ 1 วัน,1311,
25 - 39,กรุงเทพมหานคร,สัปดาห์ละ 1 วัน,5348,3632
40 - 59,กรุงเทพมหานคร,สัปดาห์ละ 1 วัน,13870,14959
60 ขึ้นไป,กรุงเทพมหานคร,สัปดาห์ละ 1 วัน,10408,17437
6 - 14,กรุงเทพมหานคร,นานๆครั้ง,3576,
15 - 24,กรุงเทพมหานคร,นานๆครั้ง,2001,7669
25 - 39,กรุงเทพมหานคร,นานๆครั้ง,20630,19195
40 - 59,กรุงเทพมหานคร,นานๆครั้ง,51603,67321
60 ขึ้นไป,กรุงเทพมหานคร,นานๆครั้ง,47159,43544

