age,frequencies,male_read,female_read
6 - 14,Daily,1348589,1472791
15 - 24,Daily,2946721,3170938
25 - 39,Daily,3938514,4384274
40 - 59,Daily,3712558,3880933
60 and over,Daily,966011,992115

6 - 14,4 - 6 days/week,1167615,1055550
15 - 24,4 - 6 days/week,702721,702663
25 - 39,4 - 6 days/week,809029,890529
40 - 59,4 - 6 days/week,906869,952481
60 and over,4 - 6 days/week,259160,288875

6 - 14,2 - 3 days/week,555536,469707
15 - 24,2 - 3 days/week,459390,385649
25 - 39,2 - 3 days/week,832869,757588
40 - 59,2 - 3 days/week,1284435,1400663
60 and over,2 - 3 days/week,605951,649582

6 - 14,1 day/week,85935,67636
15 - 24,1 day/week,53982,25693
25 - 39,1 day/week,118106,111137
40 - 59,1 day/week,322299,379290
60 and over,1 day/week,221729,272406

6 - 14,Occasionally,66895,53556
15 - 24,Occasionally,167134,111592
25 - 39,Occasionally,487452,327356
40 - 59,Occasionally,1461044,1543181
60 and over,Occasionally,942526,912865

